class,description
0,13 October 2004 - The United Nations food relief agency warned today that the security situation in Sudan #39;s strife-torn Darfur region is so volatile that it is hampering the delivery and distribution of food aid to the vast population of internally 
3,"NEW YORK - Now that digital music players have evolved beyond the ability to store 20 gigabytes worth of music, storage capacity memory is no longer the only factor to consider before buying."
2,GENEVA: International Monetary Fund (IMF) managing director Rodrigo Rato on Friday called on oil-producing nations to boost investment in production facilities in response to ever rising oil prices.
1,"The Revolution are apparently prepared to fight to extend their season. Clint Dempsey and Pat Noonan shoved each other and flailed away briefly yesterday at the Gillette Stadium practice field, while the team prepared for tomorrow's playoff game against the Columbus Crew."
2,"US securities regulators have ratcheted up their probe of Krispy Kreme Doughnuts Inc. (KKD.N: Quote, Profile, Research) , looking at how it repurchased some of its doughnut franchises, the company said on Friday."
3,"Microsoft Corp. Thursday said it is investigating claims that several new vulnerabilities have been found in Windows XP Service Pack 2 by security firm Finjan Software Inc. in San Jose, Calif. Finjan on Tuesday announced that it had found as many as 10 ""serious"" flaws in SP2."
2,Union says pilots may retire en masse to get payments rather than ride out possible bankruptcy. NEW YORK (Reuters) - Delta Air Lines Inc.
0,IRAN said today it was still committed to suspending parts of its sensitive nuclear program and alarm over its last-minute uranium conversion activities was merely US  quot;propaganda quot;.
0,"AP - The Navy has put off until at least January a decision on the contract to replace the aging Marine One presidential helicopter fleet, giving both prospective contractors more time to lobby for the prized job."
1," ANAHEIM, Calif., (Sports Network) - The Arizona  Diamondbacks continued their offseason makeover Friday as they  signed free agent pitcher Russ Ortiz to a four-year contract."
3,"Cisco, Dell and Microsoft earn raves in a customer loyalty survey. Apple, HP and Sun? Not so much. NEW YORK (CNN/Money) - Executives at Cisco, Dell, Microsoft and IBM don #39;t need to worry about losing a lot "
0,"AP - On the eve of the Republican convention, some GOP gay rights supporters frustrated by their party platform's hardline stance against same-sex unions say they are torn over whether to back President Bush in this fall's election."
0,"Most Arab governments have decided to put their stock in George W. Bush for another term, concluding prematurely that the American presidential elections have been decided in favor of the Republican candidate."
2,International Business Machines said Tuesday it would buy two Danish competitors to add consulting services for shipping and logistics companies. 
3,"MacCentral - After Apple unveiled the iMac G5 in Paris this week, Vice President of Hardware Product Marketing Greg Joswiak gave Macworld editors a guided tour of the desktop's new design. Among the topics of conversation: the iMac's cooling system, why pre-installed Bluetooth functionality and FireWire 800 were left out, and how this new model fits in with Apple's objectives."
1,"Those were tears of joy he didn't even try to hide amid the wild celebration in the Red Sox' locker room last night. Sure, some champagne had been poured on him, but those were Johnny Pesky's emotions on display as he witnessed a scene that he never had a doubt he'd see."
3,Prime Minister John Howard came under fire Friday for bankrolling a pre-election e-mail campaign carried out by a company run by his son.
2," CHICAGO (Reuters) - J.M. Smucker Co. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SJM.N target=/stocks/quickinfo/fullquote""&gt;SJM.N&lt;/A&gt; on Friday  posted higher quarterly profit as improved sales at its Jif  peanut butter and Smucker's jelly business helped offset higher  raw material costs and a loss on the sale of its Brazilian  unit."
0,"TORONTO - Beer, a health food? That's what some Canadian researchers report. A study from the University of Western Ontario finds a brew could be good for you..."
3,Finnish phone giant is the latest to make its devices compliant with Research In Motion's wireless e-mail service.
2,Florida Supreme Court judges on Wednesday questioned attorneys for smokers and cigarette companies on whether a case involving thousands of smokers can properly be tried as a class action.
0,"Canadian Press - MOSCOW (AP) - The nascent petroleum division of natural gas giant Gazprom will bid for the crown jewels of the battered Yukos oil empire, its chief said Tuesday - a widely anticipated move that could put the heart of the company jailed billionaire Mikhail Khodorkovsky created in Kremlin-friendly hands."
0," HONG KONG (Reuters) - Hong Kong authorities defended  themselves on Wednesday against complaints of poor organization  of Sunday's legislative election, and insisted the poll was  open and honest."
3,Humax has announced that it is now shipping its DRT800 Tivo hardware. Humax reps here at the Digital Life trade show claim the DRT800 is the first sub-\$500 three-in-one Tivo device to include a DVD recorder 
3,A total lunar eclipse expected to create views of a blood-red moon will be visible tonight throughout most of North America -- weather permitting.
0,AN Iraqi militant group has posted a video on its website showing the beheading of a man it accused of being a spy recruited by US forces in the northern city of Mosul.
3,&lt;strong&gt;Site Notice&lt;/strong&gt; Some rough figures
0,"Reuters - The central bank raised its overnight repo rate on Tuesday for the first time in more than four years, citing concerns about a rise in inflation in Asia's fourth-largest economy."
0,London - Chilean dictator Augusto Pinochet was on Monday placed under house arrest on human rights charges after a judge in Santiago ruled he was mentally fit to stand trial.
3,"Evidence from busy rovers suggests one-time presence of water, but system reboots almost dried up the sea of data."
3,"A small newly found object, temporarily designated S/2004 S 3, has been seen orbiting Saturn #39;s outer F ring. The tiny object, seen in this movie centered in a green box, orbits the planet at a distance of "
0,"Jaguar's historic Brown's Lane factory in Coventry is to close, Ford has confirmed, with 400 jobs expected to be lost."
1,"AP - The Cleveland Cavaliers picked up Drew Gooden's contract option for 2005-06, hoping the forward will take the spot vacated by departed free agent Carlos Boozer."
